,Aridity_Index_Avg,Average Precipitation Trend,GlacierAreaFrac,Mean_Volume_Loss_ssp126,Mean_Volume_Loss_ssp245,Mean_Volume_Loss_ssp370,Mean_Volume_Loss_ssp585,Mean_Initial_Volumes_ssp126,Mean_Initial_Volumes_ssp245,Mean_Initial_Volumes_ssp370,Mean_Initial_Volumes_ssp585,#glaciers
COLVILLE,6.175496510065551,102814640.54397932,0.0006498462627506,1.3201172351837158,1.3243210315704346,1.3419585227966309,1.3454639911651611,1.3494871854782104,1.3494871854782104,1.3494871854782104,1.3494871854782104,103
YSYK-KOL,5.660446121843377,103457461.42158853,0.0234541016516105,19.187673568725582,21.265066146850582,21.744224548339844,21.819597244262695,21.899845123291016,21.899845123291016,21.899845123291016,21.899845123291016,807
UVS NUUR,6.72089400642612,37790968.974677995,0.0007002405724809,2.0541625022888184,2.1593997478485107,2.1992294788360596,2.2074012756347656,2.212231159210205,2.212231159210205,2.212231159210205,2.212231159210205,54
TARIM HE,3.053107657042024,1162809327.942341,0.0169706698758068,718.793701171875,1048.99072265625,1317.8951416015625,1494.546630859375,1860.8643798828125,1860.884765625,1860.882080078125,1860.8841552734375,20791
TALAS,3.2089415355579725,23952255.344809256,0.0010923626242448,2.673381090164185,2.7264537811279297,2.729600667953491,2.72964859008789,2.7296488285064697,2.7296488285064697,2.7296488285064697,2.7296488285064697,174
LAKE BALKHASH,10.606477561021531,224344.7490746948,0.0057162035811432,105.6748046875,118.45642852783205,125.0926513671875,127.7532730102539,130.37838745117188,130.37820434570312,130.37838745117188,130.37838745117188,3142
HAR US NUUR,6.543326283373032,-1249545.6461189575,0.0014850070107425,15.73055934906006,16.84675407409668,17.32106590270996,17.438629150390625,17.488330841064453,17.488330841064453,17.488330841064453,17.488330841064453,567
CHUY,7.665382003860106,1340028.948501018,0.0025403355987721,14.482647895812988,15.864094734191896,16.178359985351562,16.231088638305664,16.254817962646484,16.254817962646484,16.254817962646484,16.254817962646484,719
ARAL SEA,1.0745761778817489,-269640007.66773444,0.0096972911590378,494.9957885742187,616.505615234375,710.1827392578125,763.2667236328125,859.6079711914062,859.6178588867188,859.6190795898438,859.6202392578125,16211
YELLOW RIVER,3.984452959189376,7103212.364324406,0.0001908293370827,6.206415176391602,7.303152561187744,8.048735618591309,8.406096458435059,8.956625938415527,8.956625938415527,8.956625938415527,8.956625938415527,287
MEKONG,3.6469693195190023,14852973.05511794,0.0002287207677406,8.126473426818848,8.233291625976562,8.245583534240723,8.249151229858398,8.255576133728027,8.255576133728027,8.255576133728027,8.255576133728027,405
KAMCHATKA,3.229402112226708,14365619.84982382,0.0039141206163405,8.586312294006348,10.599207878112791,12.194613456726074,13.615873336791992,18.554841995239254,18.554841995239254,18.554841995239254,18.554841995239254,135
SALWEEN,0.972450959824949,-13416790.510401703,0.0049189332193735,53.29795455932617,58.82634735107422,62.821083068847656,64.2806167602539,66.14401245117188,66.14439392089844,66.14458465576172,66.13076782226562,2134
IRRAWADDY,4.091625597279668,21879676.04162056,0.0001176606020337,1.2307084798812866,1.401833415031433,1.4977266788482666,1.5296239852905271,1.5575778484344482,1.5575778484344482,1.5575778484344482,1.5575778484344482,144
INDUS,7.0108083070956555,-2524825.1568265874,0.0325349098961101,1075.2860107421875,1370.15185546875,1613.78759765625,1799.3739013671875,2420.0576171875,2420.0615234375,2420.058349609375,2420.0625,23424
GANGES,1.2097028733192976,-30516946.23707339,0.0079011022309083,310.3427429199219,390.9375,442.1803894042969,462.4592895507813,508.5122375488281,508.5079956054687,508.5125732421875,508.5113830566406,6552
BRAHMAPUTRA,1.905142638146244,-77086181.84720445,0.0198819580885106,443.76513671875,515.0474853515625,566.2085571289062,588.683837890625,628.2798461914062,628.2852783203125,628.2840576171875,628.302978515625,11508
OB,1.6941238202059503,-76358883.36364299,0.0002737433656686,33.342506408691406,36.61164855957031,38.790504455566406,39.50733947753906,40.59500503540039,40.59556579589844,40.59452438354492,40.59556579589844,1609
INDIGIRKA,9.07728870812194,-4872448.568745633,0.0005566923030485,8.744405746459961,8.92128849029541,8.96500301361084,8.977824211120605,8.986875534057617,8.986875534057617,8.986875534057617,8.986875534057617,331
YANGTZE,3.3624679135802475,31889190.322757717,0.0009962348085939,91.48503875732422,101.6148910522461,107.12420654296876,108.6281509399414,110.99510192871094,110.9952392578125,110.99524688720705,110.9952392578125,1633
